0.029555+0.00726218i,0.0150073+0.0061457i,0.000425888+0.00124112i
0.0292688+0.00816575i,0.0161277+0.00734755i,1.78213e-05+0.00131879i
0.0289155+0.00826066i,0.0171428+0.00846767i,-0.000362441+0.00133511i
0.0285477+0.00755463i,0.0180786+0.00937741i,-0.0006967+0.00131795i
0.0281614+0.00608128i,0.0189705+0.00996421i,-0.000973302+0.00129369i
0.027698+0.00389655i,0.0198462+0.0101331i,-0.00118451+0.00128405i
0.0270527+0.00108043i,0.0207123+0.00980664i,-0.00132424+0.00130393i
0.0260862+-0.00225724i,0.0215433+0.0089257i,-0.0013867+0.00135985i
0.0246432+-0.00596897i,0.0222755+0.00745314i,-0.00136632+0.00144913i
0.0225735+-0.00986303i,0.0228058+0.00538091i,-0.00125906+0.00155967i
0.0197586+-0.0137016i,0.0229954+0.00274059i,-0.00106487+0.00167083i
0.0161388+-0.0172071i,0.0226814+-0.000384084i,-0.000790969+0.00175585i
0.0117377+-0.0200796i,0.0216955+-0.00384568i,-0.000454771+0.00178614i
0.00668043+-0.0220258i,0.0198913+-0.00742614i,-8.53511e-05+0.00173739i
0.00119675+-0.0227962i,0.0171775+-0.0108394i,0.000278149+0.00159696i
0.0209435+-0.00616245i,0.00830165+0.00278938i,0.00101715+-0.000702224i
0.0232431+-0.00342272i,0.00873511+0.00276562i,0.00112618+-0.000291024i
0.0248827+-0.000624309i,0.00957341+0.00301061i,0.00106627+0.000112906i
0.0259201+0.00196085i,0.0106403+0.00358473i,0.000869717+0.000460033i
0.0264722+0.00411418i,0.0117888+0.00445984i,0.00057881+0.00072423i
0.026678+0.00567931i,0.0129208+0.00555014i,0.000236147+0.000900374i
0.0266687+0.00655881i,0.0139901+0.00674027i,-0.000121428+0.000999186i
0.0265437+0.00670461i,0.0149942+0.00790604i,-0.000465375+0.00104124i
0.0263567+0.00610711i,0.0159594+0.00892706i,-0.000775316+0.00105141i
0.0261095+0.00478668i,0.0169248+0.00969238i,-0.00103728+0.00105427i
0.0257526+0.00278962i,0.0179257+0.0101017i,-0.00124132+0.00107068i
0.0251916+0.000188968i,0.0189795+0.0100647i,-0.00137937+0.00111528i
0.024299+-0.00291062i,0.0200733+0.00950174i,-0.00144387+0.0011947i
0.0229318+-0.00636624i,0.0211549+0.00834664i,-0.00142777+0.00130647i
0.0209523+-0.00999126i,0.0221273+0.00655441i,-0.00132572+0.00143869i
0.0182541+-0.0135545i,0.0228484+0.00411334i,-0.00113666+0.00157081i
0.0147887+-0.0167876i,0.0231372+0.0010608i,-0.00086707+0.00167599i
0.0105889+-0.0194031i,0.0227895+-0.00249936i,-0.000533991+0.0017254i
0.00578562+-0.0211238i,0.0216029+-0.00638193i,-0.000166516+0.00169455i
0.000609134+-0.0217202i,0.0194118+-0.0103131i,0.000195847+0.00157082i
0.0163952+-0.00587369i,0.0071318+0.00197807i,0.000380166+-0.000819423i
0.0188921+-0.00389896i,0.00745025+0.00198885i,0.000590059+-0.000517245i
0.0208349+-0.00169614i,0.00815712+0.00222587i,0.000636116+-0.000180697i
0.0222221+0.000459046i,0.00910022+0.00276512i,0.000539498+0.000132989i
0.0231253+0.00233151i,0.0101473+0.00359932i,0.000335947+0.000389031i
0.0236528+0.00374247i,0.0112074+0.00466401i,6.51191e-05+0.00057417i
0.0239174+0.00457122i,0.0122368+0.00586226i,-0.000236549+0.0006923i
0.0240105+0.00474871i,0.0132333+0.00708363i,-0.000539368+0.000758774i
0.0239856+0.00424829i,0.0142247+0.00821575i,-0.000821042+0.0007948i
0.0238497+0.00307768i,0.0152536+0.00914959i,-0.00106545+0.000822667i
0.0235624+0.00127453i,0.0163622+0.00978033i,-0.00126058+0.000862024i
0.0230412+-0.00109359i,0.0175778+0.0100064i,-0.00139656+0.000927098i
0.0221727+-0.00392561i,0.0188985+0.00972946i,-0.00146437+0.0010247i
0.0208293+-0.0070817i,0.0202817+0.00885726i,-0.0014557+0.00115292i
0.01889+-0.0103793i,0.0216356+0.00731168i,-0.00136421+0.00130068i
0.0162654+-0.0135937i,0.0228137+0.00504227i,-0.00118791+0.00144836i
0.0129231+-0.0164671i,0.0236178+0.00204549i,-0.000932362+0.00157007i
0.00891044+-0.0187273i,0.0238097+-0.00161259i,-0.000613605+0.00163791i
0.00436808+-0.0201175i,0.0231349+-0.00577385i,-0.000259573+0.00162816i
-0.000470134+-0.0204338i,0.0213606+-0.010172i,9.16006e-05+0.00152873i
0.0118763+-0.00547373i,0.00599526+0.000764899i,-0.000232133+-0.000839789i
0.0145113+-0.00429837i,0.00628652+0.000834807i,6.24843e-05+-0.000658168i
0.0167123+-0.00273536i,0.00693357+0.00109827i,0.000204941+-0.000401629i
0.0184165+-0.00105779i,0.00780907+0.00164029i,0.000203936+-0.000133342i
0.0196471+0.000487422i,0.00879756+0.00246926i,8.71886e-05+0.000104158i
0.020478+0.00170217i,0.00981772+0.00353816i,-0.000109913+0.00028971i
0.0209999+0.00244431i,0.0108303+0.00476581i,-0.000352406+0.00042019i
0.0212936+0.00262493i,0.0118355+0.00605365i,-0.00061025+0.000505303i
0.0214098+0.00220108i,0.0128631+0.00729625i,-0.000859796+0.000562104i
0.0213598+0.00116858i,0.0139596+0.00838596i,-0.00108318+0.000610125i
0.021112+-0.00044269i,0.0151734+0.00921349i,-0.00126668+0.000667441i
0.0205966+-0.00256963i,0.0165394+0.00966661i,-0.00139893+0.000747681i
0.0197161+-0.00511374i,0.0180645+0.00962989i,-0.00146973+0.000857826i
0.0183607+-0.00793747i,0.0197128+0.00898766i,-0.00146985+0.00099676i
0.0164296+-0.0108621i,0.021394+0.00763262i,-0.00139212+0.00115466i
0.013854+-0.0136701i,0.022955+0.00548123i,-0.00123371+0.00131353i
0.010622+-0.0161158i,0.0241787+0.00249624i,-0.000998996+0.00144931i
0.00679859+-0.0179454i,0.0247936+-0.0012854i,-0.000702367+0.0015359i
0.00253712+-0.018927i,0.0244971+-0.00572322i,-0.000369431+0.00155104i
-0.00192391+-0.0188875i,0.0229963+-0.0105493i,-3.53174e-05+0.00148338i
0.00756435+-0.00476355i,0.00474695+-0.000753575i,-0.000790273+-0.000726609i
0.0102391+-0.00439895i,0.00510361+-0.000625319i,-0.00043842+-0.000674743i
0.0126167+-0.00350658i,0.00577213+-0.00032053i,-0.000219299+-0.000511318i
0.0145733+-0.00234816i,0.00664894+0.00024777i,-0.000137581+-0.000302831i
0.0160814+-0.00117552i,0.00763596+0.00109759i,-0.000174906+-9.7903e-05i
0.0171769+-0.00020117i,0.00866301+0.00219441i,-0.000301565+7.52924e-05i
0.0179253+0.000414637i,0.00969724+0.00346891i,-0.000485337+0.00020692i
0.0183931+0.00056518i,0.0107425+0.0048315i,-0.000696881+0.000300981i
0.0186263+0.000192578i,0.0118317+0.0061815i,-0.000912015+0.000370125i
0.0186384+-0.00071838i,0.0130149+0.00741115i,-0.00111177+0.000430811i
0.0184063+-0.00214485i,0.0143454+0.00840581i,-0.00128121+0.000499268i
0.0178732+-0.00402765i,0.0158638+0.00904259i,-0.00140788+0.000588347i
0.0169584+-0.00627048i,0.0175819+0.00919004i,-0.00148074+0.000705174i
0.0155724+-0.00873809i,0.0194665+0.00871159i,-0.00148989+0.000849568i
0.0136366+-0.0112562i,0.0214243+0.00747515i,-0.0014275+0.00101331i
0.011106+-0.0136159i,0.0232914+0.00537071i,-0.00128976+0.00118051i
0.00799136+-0.0155862i,0.0248293+0.00233635i,-0.00107955+0.00132951i
0.00437751+-0.0169349i,0.0257331+-0.00160892i,-0.000808866+0.00143653i
0.000431462+-0.0174594i,0.0256564+-0.0063297i,-0.000499878+0.00148103i
-0.00360431+-0.0170214i,0.0242556+-0.0115439i,-0.000183297+0.00145213i
0.00365232+-0.00361209i,0.00322122+-0.00243825i,-0.0012503+-0.000461312i
