0.00900016+0.0278502i,0.0188673+0.00260819i,0.00265736+0.00144283i
0.00605695+0.029862i,0.0199177+0.0068613i,0.00240732+0.00143672i
0.0033077+0.0315507i,0.0201663+0.0110161i,0.00216697+0.00132012i
0.000858457+0.0329664i,0.0197852+0.0148169i,0.001946+0.00109722i
-0.00118555+0.0341584i,0.0189889+0.0180837i,0.00174684+0.00077736i
-0.00272449+0.0351691i,0.0179974+0.020707i,0.00156362+0.000373832i
-0.00366864+0.0360263i,0.0170069+0.0226334i,0.0013824+-9.68164e-05i
-0.00394338+0.0367335i,0.016171+0.0238479i,0.00118267+-0.00061462i
-0.00349515+0.0372628i,0.0155894+0.0243581i,0.000939865+-0.00115531i
-0.0022992+0.0375501i,0.0153028+0.0241829i,0.000628939+-0.00168902i
-0.000369409+0.0374946i,0.0152933+0.0233476i,0.000228831+-0.00217921i
0.00223049+0.0369659i,0.0154888+0.0218858i,-0.000272278+-0.00258258i
0.005376+0.0358176i,0.0157719+0.0198459i,-0.000871343+-0.00285091i
0.00887438+0.0339103i,0.015993+0.0173021i,-0.00154531+-0.00293544i
0.0124646+0.0311411i,0.0159887+0.0143653i,-0.00224775+-0.00279438i
0.0158295+0.0274777i,0.0156056+0.0111907i,-0.00290895+-0.00240313i
0.0186236+0.0229906i,0.0147275+0.00797742i,-0.00344135+-0.00176584i
0.0186348+0.0201141i,0.0119056+-0.00454269i,0.00288653+0.00118451i
0.0149305+0.023061i,0.0150342+-0.00193228i,0.00246402+0.00128756i
0.0113166+0.0252093i,0.0175766+0.00148435i,0.00208616+0.00125865i
0.00794841+0.0267242i,0.0193696+0.00540413i,0.00176242+0.00112095i
0.00492989+0.0277578i,0.0203841+0.00950161i,0.00149452+0.000894477i
