0.0236537+-0.00170275i,-0.0088076+0.0187769i,-0.00228683+-0.000842217i
0.0229449+-0.00582319i,-0.00425381+0.0201409i,-0.0026618+-0.000223586i
0.0211461+-0.0101638i,0.000586152+0.0204218i,-0.00285316+0.000539767i
0.00605917+0.00102138i,-0.0119258+0.00553544i,-0.000247192+-0.00222184i
0.00628686+0.0010769i,-0.0145828+0.00432172i,0.000210311+-0.00237899i
0.00688514+0.00130913i,-0.0167865+0.0027217i,0.000656731+-0.00241331i
0.0077289+0.00181035i,-0.0184799+0.00101485i,0.00104686+-0.0023527i
0.00870195+0.00259522i,-0.019692+-0.000549068i,0.00135228+-0.00223421i
0.00972038+0.00362119i,-0.020502+-0.00177183i,0.00155963+-0.00209548i
0.0107414+0.00480971i,-0.0210049+-0.00251285i,0.00166656+-0.00196882i
0.0117612+0.00606318i,-0.0212832+-0.00268551i,0.00167699+-0.00187777i
0.0128061+0.00727596i,-0.0213888+-0.0022492i,0.00159681+-0.00183572i
0.0139193+0.00833955i,-0.0213325+-0.00120175i,0.00143097+-0.00184565i
0.0151463+0.00914359i,-0.0210816+0.000425379i,0.00118201+-0.0019005i
0.0165197+0.00957515i,-0.0205649+0.00256794i,0.000850279+-0.00198363i
0.0180441+0.00951873i,-0.0196832+0.00512647i,0.000435664+-0.00206952i
0.0196823+0.00885959i,-0.0183253+0.00796246i,-5.92999e-05+-0.00212463i
0.0213429+0.00749243i,-0.0163894+0.010896i,-0.000625359+-0.00210922i
0.022873+0.00533684i,-0.0138065+0.0137082i,-0.00124202+-0.00198046i
0.0240574+0.00235943i,-0.0105651+0.0161517i,-0.00187347+-0.00169748i
0.0246284+-0.00139881i,-0.00673249+0.0179715i,-0.00246608+-0.00122862i
0.0242895+-0.00579421i,-0.00246533+0.0189355i,-0.00294906+-0.000560636i
0.0227561+-0.0105578i,0.00199359+0.0188716i,-0.00323955+0.000291477i
0.00485348+-0.000518034i,-0.00758925+0.00481641i,-0.000406608+-0.00212121i
0.00514637+-0.000393806i,-0.0102922+0.0044191i,4.26425e-05+-0.00230664i
0.0057637+-0.000111573i,-0.012679+0.00349181i,0.000490856+-0.00237368i
0.00660502+0.000422622i,-0.0146302+0.00230346i,0.000893105+-0.0023469i
0.0075723+0.001233i,-0.016124+0.0011096i,0.00121959+-0.00226088i
0.00859335+0.00228968i,-0.0172016+0.000123604i,0.00145456+-0.00215194i
0.00963216+0.00352623i,-0.0179327+-0.000495251i,0.00159276+-0.00205226i
0.0106889+0.0048543i,-0.0183862+-0.000642156i,0.00163498+-0.00198617i
0.011793+0.00617323i,-0.0186094+-0.000261347i,0.00158411+-0.00196837i
0.0129911+0.0073746i,-0.0186159+0.00066051i,0.00144207+-0.00200316i
0.0143334+0.00834288i,-0.0183819+0.0020991i,0.00120852+-0.00208442i
0.0158578+0.0089546i,-0.0178496+0.00399422i,0.00088096+-0.00219557i
0.0175737+0.00907844i,-0.0169368+0.00624879i,0.000456726+-0.00230989i
0.0194458+0.00857896i,-0.0155528+0.00872689i,-6.36711e-05+-0.00239117i
0.0213799+0.00732646i,-0.013618+0.0112535i,-0.000671929+-0.00239534i
